community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Paris,8.0,k-NN,0.25,3,1.3102874902546138,1.7168533071177345,1.0780186625208124
Paris,9.0,k-NN,0.25,3,1.3115031134286241,1.7200404165329748,1.0789411918890066
Paris,10.0,k-NN,0.25,3,1.3123882705574963,1.7223629726968959,1.0795898508122181
Paris,11.0,k-NN,0.25,3,1.3129908873740885,1.7239450703273966,1.079982670152861
Paris,12.0,k-NN,0.25,3,1.3129610275580272,1.723866659886231,1.0797586700977562
Paris,13.0,k-NN,0.25,3,1.3123599698665696,1.7222886905081833,1.0790234996723003
Paris,14.0,k-NN,0.25,3,1.312031188159308,1.721425838702726,1.0786700701249623
Paris,15.0,k-NN,0.25,3,1.3117499843654232,1.7206880214826878,1.0782625648524375
Paris,16.0,k-NN,0.25,3,1.3115040277991206,1.7200428149333162,1.077988491377201
Paris,17.0,k-NN,0.25,3,1.3112326447297264,1.719331048604913,1.077680296897546
Paris,18.0,k-NN,0.25,3,1.3110287957936184,1.7187965034000654,1.0774027158585369
Paris,19.0,k-NN,0.25,3,1.3110970311212726,1.7189754250150153,1.0774013570304577
Paris,20.0,k-NN,0.25,3,1.3111080337799539,1.719004276242337,1.0772726943450601
Paris,21.0,k-NN,0.25,3,1.3109841456523028,1.7186794301516983,1.077115189837693
Paris,22.0,k-NN,0.25,3,1.3109419891624738,1.7185688989492638,1.0770196531771494
Paris,23.0,k-NN,0.25,3,1.310823987137252,1.7182595252544024,1.0768724625318282
Paris,24.0,k-NN,0.25,3,1.3105983866339337,1.7176681310474697,1.0766367476805168
Paris,25.0,k-NN,0.25,3,1.3104973559028168,1.7174033198282739,1.0764911807383903
Paris,26.0,k-NN,0.25,3,1.3103624065420671,1.7170496364787178,1.0763332446313774
Paris,27.0,k-NN,0.25,3,1.3100943951231545,1.7163473241331042,1.076098161272491
Paris,28.0,k-NN,0.25,3,1.3097417855883313,1.7154235449161106,1.0756968149699588
Paris,29.0,k-NN,0.25,3,1.3095155314413143,1.7148309270860276,1.0755029155728173
Paris,30.0,k-NN,0.25,3,1.3092747280002297,1.7142003133800756,1.075255775468934
Paris,31.0,k-NN,0.25,3,1.309229793759898,1.714082652868585,1.075234996432
Paris,32.0,k-NN,0.25,3,1.3092398495690791,1.714108983699665,1.0752706729685033
Paris,33.0,k-NN,0.25,3,1.309183566178119,1.7139616099508577,1.075233943362483
Paris,34.0,k-NN,0.25,3,1.3090400353275848,1.7135858140904443,1.075099997627153
Paris,35.0,k-NN,0.25,3,1.3088842502423828,1.7131779805325642,1.0749154452471215
Paris,36.0,k-NN,0.25,3,1.3087832819068694,1.7129136789989163,1.0748431924237811
Paris,37.0,k-NN,0.25,3,1.3089559816539789,1.7133657619077314,1.0749943528775503
Paris,38.0,k-NN,0.25,3,1.3091507620777598,1.7138757178487793,1.07517033680216
Paris,39.0,k-NN,0.25,3,1.30942883549572,1.714603875227677,1.0754933811911633
Paris,40.0,k-NN,0.25,3,1.309855985454642,1.7157227026313513,1.0758675496961156
Paris,41.0,k-NN,0.25,3,1.3103966097001878,1.7171392747137462,1.0764292815718552
Paris,42.0,k-NN,0.25,3,1.3108356778048897,1.718290174206205,1.0768868723338412
Paris,43.0,k-NN,0.25,3,1.311250105858904,1.7193768401149865,1.077329114628975
Paris,44.0,k-NN,0.25,3,1.311719700783807,1.7206085734243601,1.0778309933495358
Paris,45.0,k-NN,0.25,3,1.3122081355120019,1.7218901909038842,1.0783290163076937
Paris,46.0,k-NN,0.25,3,1.3127519872921054,1.7233177801393722,1.0788917680454442
Paris,47.0,k-NN,0.25,3,1.313365484524806,1.7249288959410782,1.079477067503539
Paris,1.0,NMF,0.25,3,1.3104281570917191,1.7172219548987995,1.0791658009408245
Paris,2.0,NMF,0.25,3,1.3096443150679027,1.7151682319896757,1.0783100335609306
Paris,3.0,NMF,0.25,3,1.3099728247847766,1.7160288016746073,1.079172821074151
Paris,4.0,NMF,0.25,3,1.3093171175000478,1.7143113141786341,1.0780890113744588
Paris,5.0,NMF,0.25,3,1.3089080736061436,1.7132403451513458,1.0774010657354054
Paris,6.0,NMF,0.25,3,1.3084042099219328,1.7119215765414373,1.076440201492372
Paris,7.0,NMF,0.25,3,1.30959181178408,1.7150307134919092,1.077541384727135
Paris,8.0,NMF,0.25,3,1.3102874902546138,1.7168533071177345,1.0780186625208124
Paris,9.0,NMF,0.25,3,1.3115031134286241,1.7200404165329748,1.0789411918890066
Paris,10.0,NMF,0.25,3,1.3123882705574963,1.7223629726968959,1.0795898508122181
Paris,11.0,NMF,0.25,3,1.3129908873740885,1.7239450703273966,1.079982670152861
Paris,12.0,NMF,0.25,3,1.3129610275580272,1.723866659886231,1.0797586700977562
Paris,13.0,NMF,0.25,3,1.3123599698665696,1.7222886905081833,1.0790234996723003
Paris,14.0,NMF,0.25,3,1.312031188159308,1.721425838702726,1.0786700701249623
Paris,15.0,NMF,0.25,3,1.3117499843654232,1.7206880214826878,1.0782625648524375
Paris,16.0,NMF,0.25,3,1.3115040277991206,1.7200428149333162,1.077988491377201
Paris,17.0,NMF,0.25,3,1.3112326447297264,1.719331048604913,1.077680296897546
Paris,18.0,NMF,0.25,3,1.3110287957936184,1.7187965034000654,1.0774027158585369
Paris,19.0,NMF,0.25,3,1.3110970311212726,1.7189754250150153,1.0774013570304577
Paris,20.0,NMF,0.25,3,1.3111080337799539,1.719004276242337,1.0772726943450601
Paris,21.0,NMF,0.25,3,1.3109841456523028,1.7186794301516983,1.077115189837693
Paris,22.0,NMF,0.25,3,1.3109419891624738,1.7185688989492638,1.0770196531771494
Paris,23.0,NMF,0.25,3,1.310823987137252,1.7182595252544024,1.0768724625318282
Paris,24.0,NMF,0.25,3,1.3105983866339337,1.7176681310474697,1.0766367476805168
Paris,25.0,NMF,0.25,3,1.3104973559028168,1.7174033198282739,1.0764911807383903
Paris,26.0,NMF,0.25,3,1.3103624065420671,1.7170496364787178,1.0763332446313774
Paris,27.0,NMF,0.25,3,1.3100943951231545,1.7163473241331042,1.076098161272491
Paris,28.0,NMF,0.25,3,1.3097417855883313,1.7154235449161106,1.0756968149699588
Paris,29.0,NMF,0.25,3,1.3095155314413143,1.7148309270860276,1.0755029155728173
Paris,30.0,NMF,0.25,3,1.3092747280002297,1.7142003133800756,1.075255775468934
Paris,31.0,NMF,0.25,3,1.309229793759898,1.714082652868585,1.075234996432
Paris,32.0,NMF,0.25,3,1.3092398495690791,1.714108983699665,1.0752706729685033
Paris,33.0,NMF,0.25,3,1.309183566178119,1.7139616099508577,1.075233943362483
Paris,34.0,NMF,0.25,3,1.3090400353275848,1.7135858140904443,1.075099997627153
Paris,35.0,NMF,0.25,3,1.3088842502423828,1.7131779805325642,1.0749154452471215
Paris,36.0,NMF,0.25,3,1.3087832819068694,1.7129136789989163,1.0748431924237811
Paris,37.0,NMF,0.25,3,1.3089559816539789,1.7133657619077314,1.0749943528775503
Paris,38.0,NMF,0.25,3,1.3091507620777598,1.7138757178487793,1.07517033680216
Paris,39.0,NMF,0.25,3,1.30942883549572,1.714603875227677,1.0754933811911633
Paris,40.0,NMF,0.25,3,1.309855985454642,1.7157227026313513,1.0758675496961156
Paris,41.0,NMF,0.25,3,1.3103966097001878,1.7171392747137462,1.0764292815718552
Paris,42.0,NMF,0.25,3,1.3108356778048897,1.718290174206205,1.0768868723338412
Paris,43.0,NMF,0.25,3,1.311250105858904,1.7193768401149865,1.077329114628975
Paris,44.0,NMF,0.25,3,1.311719700783807,1.7206085734243601,1.0778309933495358
Paris,45.0,NMF,0.25,3,1.3122081355120019,1.7218901909038842,1.0783290163076937
Paris,46.0,NMF,0.25,3,1.3127519872921054,1.7233177801393722,1.0788917680454442
Paris,47.0,NMF,0.25,3,1.313365484524806,1.7249288959410782,1.079477067503539
Paris,1.0,Co-Clustering,0.25,3,1.3104281570917191,1.7172219548987995,1.0791658009408245
Paris,2.0,Co-Clustering,0.25,3,1.3096443150679027,1.7151682319896757,1.0783100335609306
Paris,3.0,Co-Clustering,0.25,3,1.3099728247847766,1.7160288016746073,1.079172821074151
Paris,4.0,Co-Clustering,0.25,3,1.3093171175000478,1.7143113141786341,1.0780890113744588
Paris,5.0,Co-Clustering,0.25,3,1.3089080736061436,1.7132403451513458,1.0774010657354054
Paris,6.0,Co-Clustering,0.25,3,1.3084042099219328,1.7119215765414373,1.076440201492372
Paris,7.0,Co-Clustering,0.25,3,1.30959181178408,1.7150307134919092,1.077541384727135
Paris,8.0,Co-Clustering,0.25,3,1.3102874902546138,1.7168533071177345,1.0780186625208124
Paris,9.0,Co-Clustering,0.25,3,1.3115031134286241,1.7200404165329748,1.0789411918890066
Paris,10.0,Co-Clustering,0.25,3,1.3123882705574963,1.7223629726968959,1.0795898508122181
Paris,11.0,Co-Clustering,0.25,3,1.3129908873740885,1.7239450703273966,1.079982670152861
Paris,12.0,Co-Clustering,0.25,3,1.3129610275580272,1.723866659886231,1.0797586700977562
Paris,13.0,Co-Clustering,0.25,3,1.3123599698665696,1.7222886905081833,1.0790234996723003
Paris,14.0,Co-Clustering,0.25,3,1.312031188159308,1.721425838702726,1.0786700701249623
Paris,15.0,Co-Clustering,0.25,3,1.3117499843654232,1.7206880214826878,1.0782625648524375
Paris,16.0,Co-Clustering,0.25,3,1.3115040277991206,1.7200428149333162,1.077988491377201
Paris,17.0,Co-Clustering,0.25,3,1.3112326447297264,1.719331048604913,1.077680296897546
Paris,18.0,Co-Clustering,0.25,3,1.3110287957936184,1.7187965034000654,1.0774027158585369
Paris,19.0,Co-Clustering,0.25,3,1.3110970311212726,1.7189754250150153,1.0774013570304577
Paris,20.0,Co-Clustering,0.25,3,1.3111080337799539,1.719004276242337,1.0772726943450601
Paris,21.0,Co-Clustering,0.25,3,1.3109841456523028,1.7186794301516983,1.077115189837693
Paris,22.0,Co-Clustering,0.25,3,1.3109419891624738,1.7185688989492638,1.0770196531771494
Paris,23.0,Co-Clustering,0.25,3,1.310823987137252,1.7182595252544024,1.0768724625318282
