dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,l2,Surprise,SVD,0.1,10,1.2224312369151618,1.4943381289859325,0.993501470536142
ml-100k,l2,Surprise,k-NN,0.1,10,1.2671242754244119,1.605603929369841,1.0193509320174612
ml-100k,l2,Surprise,NMF,0.1,10,1.3042607325397395,1.701096058445098,1.0542373433611194
ml-100k,l2,Surprise,Co-Clustering,0.1,10,1.29685913576214,1.6818436180097245,1.041735610559801
ml-100k,euclidean,Not-Applicable,SVD,0.01,1,0.9226673633662649,0.851315063421255,0.7259842619557872
ml-100k,euclidean,Not-Applicable,k-NN,0.01,1,0.9484643672605706,0.8995846559629945,0.7511797224822178
ml-100k,euclidean,Not-Applicable,NMF,0.01,1,0.952172851633158,0.9066331393872199,0.7468153573983243
ml-100k,euclidean,Not-Applicable,Co-Clustering,0.01,1,0.9520134680983712,0.9063296434406884,0.7491171858420329
ml-100k,euclidean,Louvain,SVD,0.01,1,1.2645454367803441,1.5990751616819916,1.023668919939671
ml-100k,euclidean,Louvain,k-NN,0.01,1,1.3110710549327396,1.7189073110824464,1.045596767401817
ml-100k,euclidean,Louvain,NMF,0.01,1,1.3896729331888895,1.931190861237812,1.1225909342534846
ml-100k,euclidean,Louvain,Co-Clustering,0.01,1,1.3704188165216624,1.8780477326766338,1.101131331970396
ml-100k,euclidean,Paris,SVD,0.01,1,1.2615364043257582,1.5914740994391627,1.023404684095532
ml-100k,euclidean,Paris,k-NN,0.01,1,1.2922300003591982,1.6698583738283335,1.034114041326728
ml-100k,euclidean,Paris,NMF,0.01,1,1.3665799989259189,1.8675408934643645,1.0987533227027781
ml-100k,euclidean,Paris,Co-Clustering,0.01,1,1.3582173733070415,1.8447544331530794,1.087641915689232
ml-100k,euclidean,Surprise,SVD,0.01,1,1.224305334468654,1.498923552008403,0.9754113002233594
ml-100k,euclidean,Surprise,k-NN,0.01,1,1.2773420632877792,1.631602746644281,1.0242332160232137
ml-100k,euclidean,Surprise,NMF,0.01,1,1.3392622291907743,1.7936233185370418,1.069347921348376
ml-100k,euclidean,Surprise,Co-Clustering,0.01,1,1.327687526918386,1.76275416913466,1.0523526618059993
ml-100k,cosine,Not-Applicable,SVD,0.01,1,0.9270927310745,0.8595009320111751,0.7238515855725843
ml-100k,cosine,Not-Applicable,k-NN,0.01,1,0.9484643672605706,0.8995846559629945,0.7511797224822178
ml-100k,cosine,Not-Applicable,NMF,0.01,1,0.9634199208868193,0.928177943961565,0.7574266871709301
ml-100k,cosine,Not-Applicable,Co-Clustering,0.01,1,0.9550949402494373,0.9122063448900762,0.7508194516653293
ml-100k,cosine,Louvain,SVD,0.01,1,1.2503276935138459,1.5633193411676538,1.0164080760292247
ml-100k,cosine,Louvain,k-NN,0.01,1,1.3140795755357209,1.7268051308401404,1.0577108385916822
ml-100k,cosine,Louvain,NMF,0.01,1,1.3625598147209013,1.8565692486922565,1.0976872996464773
ml-100k,cosine,Louvain,Co-Clustering,0.01,1,1.3895594949183423,1.9308755899177183,1.114810162429326
ml-100k,cosine,Paris,SVD,0.01,1,1.2582260471488396,1.5831327857237938,1.0210305911928248
ml-100k,cosine,Paris,k-NN,0.01,1,1.2871808904799038,1.6568346448166382,1.0351004665937453
ml-100k,cosine,Paris,NMF,0.01,1,1.3491430405584066,1.8201869438871823,1.0854441540248285
ml-100k,cosine,Paris,Co-Clustering,0.01,1,1.3587753885168545,1.8462705564391289,1.097166164452479
ml-100k,cosine,Surprise,SVD,0.01,1,1.239406083490395,1.536127439793,0.9977810587095337
ml-100k,cosine,Surprise,k-NN,0.01,1,1.3325583389461266,1.7757117266948599,1.0647063845067426
ml-100k,cosine,Surprise,NMF,0.01,1,1.3794943287758488,1.9030046031247294,1.1016486602456745
ml-100k,cosine,Surprise,Co-Clustering,0.01,1,1.396762192098097,1.9509446212746813,1.1218120377217158
ml-100k,l1,Not-Applicable,SVD,0.01,1,0.9291405705327238,0.8633021998098754,0.7271130193295644
ml-100k,l1,Not-Applicable,k-NN,0.01,1,0.9484643672605706,0.8995846559629945,0.7511797224822178
ml-100k,l1,Not-Applicable,NMF,0.01,1,0.9514633028301458,0.9052824166324497,0.7469357056232682
ml-100k,l1,Not-Applicable,Co-Clustering,0.01,1,0.9530248335960769,0.90825633345083,0.7452642470243156
ml-100k,l1,Louvain,SVD,0.01,1,1.2588845906839505,1.5847904126614978,1.0136937422257568
ml-100k,l1,Louvain,k-NN,0.01,1,1.2914930082204703,1.6679541902823596,1.0381940716549123
ml-100k,l1,Louvain,NMF,0.01,1,1.3750653861862203,1.8908048162874593,1.1087517760037897
ml-100k,l1,Louvain,Co-Clustering,0.01,1,1.3682776860103443,1.8721838260338224,1.1035877188908172
ml-100k,l1,Paris,SVD,0.01,1,1.254352738831607,1.5734007934143537,1.0208950517992696
ml-100k,l1,Paris,k-NN,0.01,1,1.2960530736164424,1.6797535696306276,1.043132213918833
ml-100k,l1,Paris,NMF,0.01,1,1.3589730733735796,1.8468078141544324,1.0956522480158755
ml-100k,l1,Paris,Co-Clustering,0.01,1,1.3749082304103908,1.890372642050232,1.1120486077556964
ml-100k,l1,Surprise,SVD,0.01,1,1.2390798320451366,1.5353188301810037,0.996748586271679
ml-100k,l1,Surprise,k-NN,0.01,1,1.2566306606062636,1.5791206171757346,1.0117776642741163
ml-100k,l1,Surprise,NMF,0.01,1,1.3102595974022837,1.7167802125847949,1.0490921884242927
ml-100k,l1,Surprise,Co-Clustering,0.01,1,1.307875112189624,1.7105373090850216,1.0364290535457663
ml-100k,l2,Not-Applicable,SVD,0.01,1,0.9237249909886674,0.8532678589770137,0.726198084380769
ml-100k,l2,Not-Applicable,k-NN,0.01,1,0.9484643672605706,0.8995846559629945,0.7511797224822178
ml-100k,l2,Not-Applicable,NMF,0.01,1,0.9428660591270176,0.8889964054537127,0.7475802531601907
